course_id,title,units,description,prerequisites,course_level,major
UWP 115,"Writing Center Research, Theory, & Practice for Peer Writing Tutors",4,"Learning Activities: Lecture/Discussion 3 hour(s), Extensive Writing/Discussion 2 hour(s), Extensive Problem Solving 1 hour(s).
Enrollment Restriction(s): Open to students who have fulfilled the ELWR (Entry Level Writing Requirement); class size limited to 25 students.
Grade Mode: Letter.
General Education: Writing Experience (WE).",ELWR (Entry Level Writing Requirement) fulfillment required.,Upper Division,UWP
UWP 120,Rhetorical Approaches to Scientific & Technological Issues,4,"Learning Activities: Lecture/Discussion 3 hour(s), Extensive Writing.
Enrollment Restriction(s): Restricted to upper division standing.
Grade Mode: Letter.
General Education: Arts & Humanities (AH) or Science & Engineering (SE); Scientific Literacy (SL); Writing Experience (WE).",N/A,Upper Division,UWP
UWP 121,History of Scientific Writing,4,"Learning Activities: Lecture/Discussion 3 hour(s), Extensive Writing.
Grade Mode: Letter.
General Education: Arts & Humanities (AH) or Science & Engineering (SE); Scientific Literacy (SL); Writing Experience (WE).",Upper division standing.,Upper Division,UWP
UWP 150,Digital Rhetorics,4,"Learning Activities: Discussion 1 hour(s), Lecture/Discussion 3 hour(s).
Grade Mode: Letter.",UWP 010 C- or better; UWP 015 C- or better.,Upper Division,UWP
UWP 151,Rhetorics & Culture,4,"Learning Activities: Lecture/Discussion 3 hour(s); Discussion 1 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Writing Experience (WE).",UWP 010 C- or better; UWP 015 C- or better.,Upper Division,UWP
UWP 190,Capstone Portfolio Seminar,4,"Learning Activities: Lecture/Discussion 3 hour(s), Extensive Writing.
Enrollment Restriction(s): Open to majors who have completed 135 units.
Repeat Credit: May be repeated.
Grade Mode: Letter.",UWP 100.,Upper Division,UWP
UWP 192,Internship in Writing,1-12,"Learning Activities: Internship 3-36 hour(s).
Repeat Credit: May be repeated 12 unit(s).
Grade Mode: Pass/No Pass only.
General Education: Arts & Humanities (AH).

UWP 192 — Internship in Writing (1-12 units)
Course Description:  Internships in fields where students can practice their skills.

Prerequisite(s): UWP 001 or UWP 001V or UWP 001Y or ENL 003 or ENL 003V or equivalent course; consent of instructor.

Learning Activities:  Internship 3-36 hour(s).

Repeat Credit:  May be repeated 12 unit(s).

Grade Mode:  Pass/No Pass only.

General Education:  Arts & Humanities (AH).
This course version is effective from, and including:  Fall Quarter 2024.",UWP 001 or UWP 001V or UWP 001Y or ENL 003 or ENL 003V or equivalent course; consent of instructor.,Upper Division,UWP
UWP 197T,Tutoring in Writing,1-5,"Learning Activities: Tutorial 1-5 hour(s).
Repeat Credit: May be repeated 10 unit(s).
Grade Mode: Pass/No Pass only.
General Education: Arts & Humanities (AH).",Consent of instructor; upper division standing.,Upper Division,UWP
UWP 197TC,Community Tutoring in Writing,1-4,"Learning Activities: Tutorial 1-4 hour(s).
Repeat Credit: May be repeated 10 unit(s).
Grade Mode: Pass/No Pass only.
General Education: Arts & Humanities (AH).",Consent of instructor; upper division standing.,Upper Division,UWP
UWP 198,Directed Group Study,1-5,"Learning Activities: Variable 1-5 hour(s).
Repeat Credit: May be repeated 10 unit(s).
Grade Mode: Pass/No Pass only.
General Education: Arts & Humanities (AH); Writing Experience (WE).",UWP 001 or UWP 001V or UWP 001Y or ENL 003 or ENL 003V or equivalent course; consent of instructor.,Upper Division,UWP
UWP 199,Special Study for Advanced Undergraduates,1-5,"Learning Activities: Variable 1-5 hour(s).
Grade Mode: Pass/No Pass only.
General Education: Arts & Humanities (AH); Writing Experience (WE).

UWP 199 — Special Study for Advanced Undergraduates (1-5 units)
Course Description:  Special study for advanced undergraduates. May be taught abroad.

Prerequisite(s):  Consent of instructor.

Learning Activities:  Variable 1-5 hour(s).

Grade Mode:  Pass/No Pass only.

General Education:  Arts & Humanities (AH); Writing Experience (WE).
This course version is effective from, and including:  Fall Quarter 2024.",Consent of instructor.,Upper Division,UWP
UWP 220,Rhetorical Approaches to Genre Study,4,"Learning Activities: Lecture/Discussion 3 hour(s), Extensive Writing.
Grade Mode: Letter.",Graduate standing or consent of instructor.,Graduate Level,UWP
UWP 225,English for International/ESL Graduate Students,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Credit Limitation(s): Not open for credit to students who have taken LIN 025.
Grade Mode: Satisfactory/Unsatisfactory only.",Consent of instructor.,Graduate Level,UWP
UWP 226,Writing for International Graduate Students,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Credit Limitation(s): Not open for credit to students who have taken LIN 026.
Grade Mode: Satisfactory/Unsatisfactory only.",Consent of instructor.,Graduate Level,UWP
UWP 250,Writing Assessment,4,"Learning Activities: Lecture/Discussion 3 hour(s), Extensive Writing.
Grade Mode: Letter.",Graduate standing or consent of instructor.,Graduate Level,UWP
UWP 253,Writing Program Administration,4,"Learning Activities: Lecture/Discussion 3 hour(s), Extensive Writing.
Grade Mode: Letter.",N/A,Graduate Level,UWP
UWP 255,Theory & Research in Response to Student Writing,4,"Learning Activities: Discussion 3 hour(s), Extensive Writing, Extensive Writing/Discussion, Project.
Enrollment Restriction(s): Restricted to graduate standing.
Grade Mode: Letter.",N/A,Graduate Level,UWP
UWP 270,Literacy & Technology,4,"Learning Activities: Lecture/Discussion 3 hour(s), Extensive Writing.
Grade Mode: Letter.",Graduate standing or consent of instructor.,Graduate Level,UWP
UWP 271,Second Language Writing,4,"Learning Activities: Seminar 3 hour(s), Extensive Writing, Project.
Enrollment Restriction(s): Restricted to graduate standing.
Grade Mode: Letter.",Graduate standing.,Graduate Level,UWP
UWP 280,Journal Editing Workshop: Writing on the Edge,2,"Learning Activities: Seminar 2 hour(s).
Repeat Credit: May be repeated.
Grade Mode: Satisfactory/Unsatisfactory only.",N/A,Graduate Level,UWP
UWP 298,Directed Group Study,1-5,"Learning Activities: Variable 1-5 hour(s).
Grade Mode: Satisfactory/Unsatisfactory only.",Consent of instructor; graduate standing.,Graduate Level,UWP
UWP 299,Individual Study,1-12,"Learning Activities: Workshop 1-12 hour(s).
Grade Mode: Satisfactory/Unsatisfactory only.",Consent of instructor. Graduate standing.,Graduate Level,UWP
UWP 390,Theory & Practice of Teaching University-Level Composition,4,"Learning Activities: Seminar 3 hour(s), Extensive Writing.
Enrollment Restriction(s): Open to graduate students teaching UWP 001 in the fall quarter following this course.
Grade Mode: Letter.",N/A,Graduate Level,UWP
UWP 391,Oral English for ESL Students,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Repeat Credit: May be repeated with consent of instructor.
Grade Mode: Satisfactory/Unsatisfactory only.",Open only to non-native speakers of English with priority enrollment to international student teaching assistants; completion of any required ESL courses or consent of instructor.,Graduate Level,UWP
UWP 392,Teaching Expository Writing,2,"Learning Activities: Discussion 2 hour(s).
Grade Mode: Satisfactory/Unsatisfactory only.",UWP 390; graduate standing; appointment as Teaching Assistant in the Composition Program; or the equivalent of UWP 390.,Graduate Level,UWP
UWP 394,Theory & Practice of Teaching Writing Across the Curriculum,4,"Learning Activities: Lecture/Discussion 3 hour(s), Conference 1 hour(s).
Grade Mode: Satisfactory/Unsatisfactory Only.",Graduate Standing.,Graduate Level,UWP
UWP 395,Teaching Multilingual Writers,4,"Learning Activities: Seminar 3 hour(s).
Grade Mode: Letter.","Graduate standing or advanced undergraduate standing; recommended: UWP 390, LIN 1, ENL 106/LIN 106/UWP 106.",Graduate Level,UWP
UWP 396,Teaching Assistant Training Practicum,1-4,"Learning Activities: Variable 1-4 hour(s).
Repeat Credit: May be repeated.
Grade Mode: Satisfactory/Unsatisfactory only.",Consent of instructor; graduate standing.,Graduate Level,UWP
PLS 001,"Agriculture, Nature & Society",3,"Learning Activities: Lecture 2 hour(s), Discussion/Laboratory 1 hour(s).
Credit Limitation(s): Not open for credit to students who have completed AMR 001. (Former AMR 001.)
Grade Mode: Letter.
General Education: Science & Engineering (SE).",N/A,Lower Division,PLS
PLS 002,Botany & Physiology of Cultivated Plants,4,"Learning Activities: Lecture 3 hour(s), Discussion/Laboratory 3 hour(s).
Credit Limitation(s): Not open for credit to students who have complete AMR 002. (Former AMR 002.)
Grade Mode: Letter.
General Education: Science & Engineering (SE); Scientific Literacy (SL).",High school course in biology and chemistry recommended.,Lower Division,PLS
PLS 003,Seminar: Overview of the Plant Sciences Major,1 unit,"Learning Activities: Seminar 1.5 hour(s).
Grade Mode: Pass/Not Passed only.",N/A,Lower Division,PLS
PLS 006,Flower Power; Art & Science of Flowers & Their Uses,2,"Learning Activities: Lecture/Discussion 2 hour(s).
Grade Mode: Pass/No Pass only.
General Education: Arts & Humanities (AH) or Science & Engineering (SE).",High school biology.,Lower Division,PLS
PLS 006V,Flower Power; Art & Science of Flowers & Their Uses,2,"Learning Activities: Web Virtual Lecture 1 hour(s), Web Electronic Discussion 1 hour(s).
Grade Mode: P/NP only.
General Education: Arts & Humanities (AH) or Science & Engineering (SE).",High school biology.,Lower Division,PLS
PLS 007,"Just Coffee: The Biology, Ecology & Socioeconomic Impacts of the World’s Favorite Drink",4,"Learning Activities: Lecture 3 hour(s), Discussion 1 hour(s).
Grade Mode: Letter.
General Education: Science & Engineering (SE) or Social Sciences (SS); Writing Experience (WE).",N/A,Lower Division,PLS
PLS 007V,"Just Coffee: The Biology, Ecology & Socioeconomic Impacts of the World's Favorite Drink",4,"Learning Activities: Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).
Grade Mode: Letter.
General Education: Science & Engineering (SE) or Social Sciences (SS); Writing Experience (WE).",N/A,Lower Division,PLS
PLS 012,Plants & Society,4,"Learning Activities: Lecture 3 hour(s), Extensive Writing 3 hour(s).
Credit Limitation(s): Not open for credit to students who have complete PLB 012. (Former PLB 012.)
Cross Listing: SAS 012.
Grade Mode: Letter.
General Education: Science & Engineering (SE) or Social Sciences (SS); Writing Experience (WE).",High school biology.,Lower Division,PLS
PLS 013,"Chocolate, Covered: The Past, Present, & Future of Cacao",3,"Learning Activities: Lecture 2 hour(s), Discussion 1 hour(s).
Grade Mode: Letter.
General Education: Science & Engineering (SE); Scientific Literacy (SL).

PLS 013 — Chocolate, Covered: The Past, Present, & Future of Cacao (2 units)
Course Description:  Multidisciplinary perspectives on the crop that gives us chocolate. History, genetics, agronomy, sensory science, and economics of cacao production.

Prerequisite(s):  High school biology.

Learning Activities:  Lecture 1 hour(s), Discussion 1 hour(s).

Grade Mode:  P/NP.

General Education:  Science & Engineering (SE) or Social Sciences (SS).
This course version is effective from, and including:  Winter Quarter 2025.",High school biology.,Lower Division,PLS
PLS 015,Introduction to Sustainable Agriculture,4,"Learning Activities: Lecture 3 hour(s), Laboratory 3 hour(s).
Grade Mode: Letter.
General Education: Science & Engineering (SE).",N/A,Lower Division,PLS
PLS 021,Application of Computers in Technology,3,"Learning Activities: Lecture 2 hour(s), Discussion/Laboratory 2 hour(s).
Enrollment Restriction(s): Not open for students who have completed PLS 021V or AMR 021. (Former AMR 021.)
Grade Mode: Letter.
General Education: Science & Engineering (SE); Visual Literacy (VL).",High school algebra.,Lower Division,PLS
PLS 021V,Application of Computers in Technology,3,"Learning Activities: Web Virtual Lecture 2 hour(s), Web Electronic Discussion 2 hour(s).
Enrollment Restriction(s): Not open for students who have taken PLS 021.
Grade Mode: Letter.
General Education: Science & Engineering (SE); Visual Literacy (VL).",High school algebra.,Lower Division,PLS
PLS 022,Introductory Plant Biophysics,4,"Learning Activities: Lecture 3 hour(s), Laboratory 3 hour(s).
Grade Mode: Letter.
This course version is effective from, and including: Fall Quarter 2024.",N/A,Lower Division,PLS
PLS 049,Organic Crop Production Practices,3,"Learning Activities: Lecture 1 hour(s), Discussion 1 hour(s), Laboratory 3 hour(s).
Credit Limitation(s): Not open for credit to students who have completed AMR 049. (Former AMR 049.)
Grade Mode: Pass/No Pass only.
General Education: Science & Engineering (SE).",N/A,Lower Division,PLS
PLS 092,Internship,1-12,"Learning Activities: Internship 3-36 hour(s).
Repeat Credit: May be repeated.
Grade Mode: Pass/No Pass only.",N/A,Lower Division,PLS
PLS 098,Directed Group Study,1-5,"Learning Activities: Variable 3-15 hour(s).
Repeat Credit: May be repeated.
Grade Mode: Pass/No Pass only.",Consent of instructor; primarily for lower division students.,Lower Division,PLS
PLS 098F,Student Facilitated Course,1-4,"Learning Activities: Variable 1-4 hour(s).
Grade Mode: P/NP only.
This course version is effective from, and including: Winter Quarter 2025.",N/A,Lower Division,PLS
PLS 099,Special Study for Undergraduates,1-5,"Learning Activities: Variable 3-15 hour(s).
Grade Mode: Pass/No Pass only.",Consent of instructor; primarily for lower division students.,Lower Division,PLS
PLS 100A,Metabolic Processes of Cultivated Plants,3,"Learning Activities: Lecture 3 hour(s).
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 002 or BIS 002C; or consent of instructor.,Upper Division,PLS
PLS 100AL,Metabolic Processes of Cultivated Plants Laboratory,2,"Learning Activities: Discussion/Laboratory 3 hour(s).
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 100A (can be concurrent); or the equivalent.,Upper Division,PLS
PLS 100B,Growth & Yield of Cultivated Plants,3,"Learning Activities: Lecture 3 hour(s).
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 100A; or the equivalent of PLS 100A.,Upper Division,PLS
PLS 100BL,Growth & Yield of Cultivated Plants Laboratory,2,"Learning Activities: Discussion/Laboratory 3 hour(s).
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 100B (can be concurrent); or equivalent.,Upper Division,PLS
PLS 100C,Environmental Interactions of Cultivated Plants,3,"Learning Activities: Lecture 3 hour(s).
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 100A; or the equivalent of PLS 100A.,Upper Division,PLS
PLS 100CL,Environmental Interactions of Cultivated Plants Laboratory,2,"Learning Activities: Discussion/Laboratory 3 hour(s).
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 100C (can be concurrent).,Upper Division,PLS
PLS 101,Agriculture & the Environment,3,"Learning Activities: Lecture 3 hour(s).
Credit Limitation(s): Not open for credit to students who have completed AMR 101. (Former AMR 101.)
Grade Mode: Letter.
General Education: Science & Engineering (SE); Scientific Literacy (SL).",PLS 002; or consent of instructor.,Upper Division,PLS
PLS 105,Concepts in Pest Management,3,"Learning Activities: Lecture 2 hour(s), Discussion/Laboratory 3 hour(s).
Credit Limitation(s): Not open for credit to students who have completed AMR 105. (Former AMR 105.)
Grade Mode: Letter.
General Education: Science & Engineering (SE).",CHE 008B; (PLS 002 or BIS 002B or BIS 002C).,Upper Division,PLS
PLS 110,Crop Management Systems for Vegetable Production,4,"Learning Activities: Lecture 2 hour(s), Discussion 1 hour(s), Laboratory 3 hour(s).
Credit Limitation(s): Not open for credit to students who have completed PLS 110C. (Former PLS 110C.)
Grade Mode: Letter.
General Education: Science & Engineering (SE).","PLS 002 or (BIS 002A,  BIS 002B,  BIS 002C).",Upper Division,PLS
PLS 111,Principles of Agronomic Crop Production Systems,4,"Learning Activities: Lecture 3 hour(s), Laboratory 3 hour(s).
Credit Limitation(s): Not open for credit to students who have completed PLS 110A. (Former PLS 110A.)
Grade Mode: Letter.
General Education: Science & Engineering (SE).

PLS 111 — Principles of Crop Production (4 units)
Course Description:  Principles, practices and technologies of agronomic cropping systems, including crop systematics, physiology, agroecology, equipment, and management. Cropping systems analysis and integration of economic and ecological decision-making considerations involved in crop production.

Prerequisite(s): PLS 002 or (BIS 002A,  BIS 002B,  BIS 002C).

Learning Activities:  Lecture 3 hour(s), Laboratory 3 hour(s).

Credit Limitation(s):  Not open for credit to students who have completed PLS 110A. (Former PLS 110A.)

Grade Mode:  Letter.

General Education:  Science & Engineering (SE).
This course version is effective from, and including:  Winter Quarter 2025.","PLS 002 or (BIS 002A,  BIS 002B,  BIS 002C).",Upper Division,PLS
PLS 112,Forage Crop Production,3,"Learning Activities: Lecture 3 hour(s).
Credit Limitation(s): Not open for credit to students who have completed AMR 112. (Former AMR 112.)
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 002 or BIS 001C or BIS 002C; or consent of instructor.,Upper Division,PLS
PLS 113,Biological Applications in Fruit Tree Management,2,"Learning Activities: Lecture 1 hour(s), Laboratory 3 hour(s).
Credit Limitation(s): Not open for credit to students that have completed PLB 173. (Former PLB 173.)
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 002 or BIS 001C or BIS 002C; or equivalent.,Upper Division,PLS
PLS 114,Biological Applications in Fruit Production,2,"Learning Activities: Lecture 1 hour(s), Laboratory 3 hour(s).
Credit Limitation(s): Not open for credit to students who have completed PLB 174. (Former PLB 174.)
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 002 or BIS 001C or BIS 002C; PLS 113 recommended.,Upper Division,PLS
PLS 116,Plant Morphology & Evolution,5,"Learning Activities: Lecture 3 hour(s), Laboratory 4 hour(s).
Credit Limitation(s): Not open for credit to students who have completed PLB 116.
Cross Listing: PLB 116.
Grade Mode: Letter.
General Education: Science & Engineering (SE).","Introductory Plant Biology; e.g., BIS 002C, PLS 002.",Upper Division,PLS
PLS 120,Applied Statistics in Agricultural Sciences,4,"Learning Activities: Lecture 3 hour(s), Discussion/Laboratory 3 hour(s).
Credit Limitation(s): Not open for credit for students who have completed AMR 120. (Former AMR 120.)
Grade Mode: Letter.
General Education: Quantitative Literacy (QL).",Upper division standing.,Upper Division,PLS
PLS 123,Introduction to Plant & Crop Systems Modeling,3,"Learning Activities: Lecture 3 hour(s).
Enrollment Restriction(s): Restricted to upper division and graduate students.
Grade Mode: Letter.
General Education: Quantitative Literacy (QL).",college algebra/precalculus  college physics recommended.,Upper Division,PLS
PLS 124,Introduction to Digital Agriculture,3,"Learning Activities: Lecture/Discussion 2 hour(s); Project.
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 021 C or better (can be concurrent) or PLS 021 C or better (can be concurrent); PLS 120 C or better; PHY 007A; PHY 007B; PHY 007C; or consent of instructor.,Upper Division,PLS
PLS 125,Proximal & Remote Sensing of Plants,3,"Learning Activities: Lecture 1 hour(s); Laboratory 3 hour(s).
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 124 C or better (can be concurrent); PLS 021 C or better (can be concurrent or PLS 021V C or better (can be concurrent)); PHY 007A; PHY 007B; PHY 007C; PLS 120 C or better; or consent of instructor.,Upper Division,PLS
PLS 127,Systematics of Vascular Plants,5,"Learning Activities: Lecture 3 hour(s), Laboratory 6 hour(s).
Credit Limitation(s): No credit if student has taken PLB/PLS 102 or EVE/PLB 108.
Cross Listing: EVE 127, PLB 127.
Grade Mode: Letter.
General Education: Science & Engineering (SE); Visual Literacy (VL).",BIS 002C or PLS 002; or consent of instructor.,Upper Division,PLS
PLS 130,Grassland Ecology,3,"Learning Activities: Lecture 3 hour(s).
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 002 or BIS 002B or BIS 002C; or consent of instructor; upper division standing.,Upper Division,PLS
PLS 136Y,Management of Grazed Ecosystems,3,"Learning Activities: Lecture/Discussion 1 hour(s), Lecture/Lab 1 hour(s), Web Virtual Lecture 1 hour(s).
Grade Mode: Letter.
General Education: Science & Engineering (SE).
This course version is effective from, and including: Winter Quarter 2025.",BIS 002B or BIS 002C or PLS 002 or SSC 010 or ANS 001 or WFC 010 or ESP 001; or consent of instructor.,Upper Division,PLS
PLS 141,Ethnobotany,4,"Learning Activities: Lecture 3 hour(s), Discussion/Laboratory 2 hour(s).
Credit Limitation(s): Not open for credit to students who have completed PLB 141. (Former PLB 141.)
Grade Mode: Letter.
General Education: Science & Engineering (SE) or Social Sciences (SS); Oral Skills (OL); Writing Experience (WE).

PLS 141 — Ethnobotany (4 units)
Course Description:  Relationships and interactions between plants and people, including human perceptions, management, and uses of plants, influences of plants on human cultures, and effects of human activity on plant ecology and evolution. Concepts, questions, methods, and ethical considerations in ethnobotanical research.

Prerequisite(s): PLS 002 or BIS 001C or BIS 002C.

Learning Activities:  Lecture 3 hour(s), Discussion/Laboratory 2 hour(s).

Credit Limitation(s):  Not open for credit to students who have completed PLB 141. (Former PLB 141.)

Grade Mode:  Letter.

General Education:  Science & Engineering (SE) or Social Sciences (SS); Writing Experience (WE).
This course version is effective from, and including:  Winter Quarter 2025.",PLS 002 or BIS 001C or BIS 002C.,Upper Division,PLS
PLS 144,Trees & Forests,4,"Learning Activities: Lecture 3 hour(s), Discussion 1 hour(s).
Credit Limitation(s): Not open for credit to students who have completed PLB 144 or ENH 144 or ERS 144. (Formerly PLB 144, ENH 144, ERS 144.)
Cross Listing: ESM 144.
Grade Mode: Letter.
General Education: Science & Engineering (SE); Visual Literacy (VL).",PLS 002 or BIS 001C or BIS 002C.,Upper Division,PLS
PLS 147,California Plant Communities,3,"Learning Activities: Lecture/Discussion 3 hour(s).
Credit Limitation(s): Not open for credit to students who have completed PLB 147. (Former PLB 147.)
Grade Mode: Letter.
General Education: Science & Engineering (SE); Visual Literacy (VL).",PLS 002 or BIS 002C.,Upper Division,PLS
PLS 147L,California Plant Communities Field Study,1 unit,"Learning Activities: Discussion/Laboratory 3 hour(s).
Credit Limitation(s): Not open for credit to students who have completed PLB 147. (Former PLB 147.)
Grade Mode: Letter.
General Education: Science & Engineering (SE); Visual Literacy (VL).",(PLS 002 or BIS 002C); concurrent or previous enrollment in PLS 147.,Upper Division,PLS
PLS 148,Field Course: Flora of Northern California's Mountains,3,"Learning Activities: Lecture/Discussion 5 hour(s), Laboratory 5 hour(s), Fieldwork 25 hour(s).
Grade Mode: Letter.

PLS 148 — Field Course: Flora of Northern California's Mountains (3 units)
Course Description:  Diversity, taxonomy, ecology, evolution, and traditional cultural importance of the flora of the Cascade and Klamath mountain ranges. Conservation and management issues. Legal and ethical responsibilities of field botanists. Hands-on botanical field methods including plant identification, characterization of vegetation types, and rare plant surveys. Field course offered the last two weeks of July, based at Lassen Volcanic National Park.

Prerequisite(s): EVE 127 (can be concurrent) or PLB 127 (can be concurrent) or PLS 127 (can be concurrent); consent of instructor.

Learning Activities:  Lecture/Discussion 5 hour(s), Laboratory 5 hour(s), Fieldwork 25 hour(s).

Grade Mode:  Letter.

General Education:   Science & Engineering (SE).
This course version is effective from, and including:  Spring Quarter 2025.",Consent of instructor.,Upper Division,PLS
PLS 150,Sustainability & Agroecosystem Management,4,"Learning Activities: Lecture 3 hour(s), Laboratory 3 hour(s).
Credit Limitation(s): Not open for credit to students who have completed AMR 150. (Former AMR 150.)
Grade Mode: Letter.
General Education: Science & Engineering (SE); Oral Skills (OL); Scientific Literacy (SL).",SSC 010; CHE 002A; (PLS 002 or BIS 001C or BIS 002C).,Upper Division,PLS
PLS 152,Plant Genetics,4,"Learning Activities: Lecture 3 hour(s), Discussion/Laboratory 1 hour(s).
Credit Limitation(s): Not open to students who have completed PLB 152. (Former PLB 152.)
Grade Mode: Letter.
General Education: Science & Engineering (SE).",BIS 001A or BIS 002A; or consent of instructor.,Upper Division,PLS
PLS 153,"Plant, Cell, Tissue & Organ Culture",4,"Learning Activities: Lecture 2 hour(s), Discussion 1 hour(s), Laboratory 3 hour(s).
Credit Limitation(s): Not open for credit to students who have completed PLB 153. (Former PLB 153.)
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 002 or BIS 001C or BIS 002C.,Upper Division,PLS
PLS 154,Introduction to Plant Breeding,4,"Learning Activities: Lecture 3 hour(s), Laboratory 3 hour(s).
Credit Limitation(s): Not open for credit to students who have completed PLB 154. (Former PLB 154.)
Grade Mode: Letter.
General Education: Science & Engineering (SE).

PLS 154 — Introduction to Plant Breeding (4 units)
Course Description:  Principles, methods and applications of plant breeding and genetics to the improvement of crop plants. Illustration of how plant breeding is a dynamic, multidisciplinary, constantly-evolving science. Laboratory emphasizes hands-on experience in the basics of breeding through experiments.

Prerequisite(s): PLS 152 or BIS 101 or BIS 101V; or consent of instructor.

Learning Activities:  Lecture 3 hour(s), Laboratory 3 hour(s).

Credit Limitation(s):  Not open for credit to students who have completed PLB 154. (Former PLB 154.)

Grade Mode:  Letter.

General Education:  Science & Engineering (SE).
This course version is effective from, and including:  Winter Quarter 2025.",PLS 152 or BIS 101; or consent of instructor.,Upper Division,PLS
PLS 157,Physiology of Environmental Stresses in Plants,4,"Learning Activities: Lecture 2 hour(s), Discussion 2 hour(s).
Credit Limitation(s): Not open for credit to students who have completed PLB 157. (Former PLB 157.)
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 100C or PLB 111 or PLB 112 or ENH 102 or VEN 110.,Upper Division,PLS
PLS 158,Mineral Nutrition of Plants,4,"Learning Activities: Lecture 3 hour(s), Laboratory 3 hour(s).
Credit Limitation(s): Not open for credit to students who have completed PLB 158. (Former PLB 158.)
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 100A or PLB 111 or ENH 102 or VEN 110.,Upper Division,PLS
PLS 160,Agroforestry: Global & Local Perspectives,3,"Learning Activities: Lecture/Discussion 3 hour(s).
Credit Limitation(s): Not open for credit to students who have previously taken AMR 160. (Former AMR 160.)
Cross Listing: IAD 160.
Grade Mode: Letter.
General Education: Science & Engineering (SE).",(PLS 002 or BIS 001C or BIS 002C); (PLS 142 or PLS 150 or BIS 002B); or general ecology course in lieu of PLS 142 or PLS 150 or BIS 002B.,Upper Division,PLS
PLS 162,Urban Ecology,3,"Learning Activities: Lecture/Discussion 3 hour(s).
Grade Mode: Letter.
General Education: Science & Engineering (SE); Scientific Literacy (SL).

PLS 162 — Urban Ecology (3 units)
Course Description:  Application of fundamental concepts and approaches in landscape and ecosystem ecology to urban ecosystems. Ecological and social drivers and responses. Landscape heterogeneity, nutrient dynamics, invasive species, altered hydrology and climate, and pollution. Discussion of primary literature.

Prerequisite(s): ESP 100 C- or better or ESP 110 C- or better or BIS 002B C- or better or PLS 100C C- or better; or consent of instructor.

Learning Activities:  Lecture/Discussion 3 hour(s).

Grade Mode:  Letter.

General Education:  Science & Engineering (SE); Scientific Literacy (SL).
This course version is effective from, and including:  Fall Quarter 2025.",ECL 200AN C- or better or ECL 200BN C- or better or ENH 160 C- or better or ESM 144 C- or better or ESP 100 C- or better or ESP 110 C- or better or ESP 121 C- or better or EVE 101 C- or better or EVE 104 C- or better or EVE 117 C- or better or EVE 120 C- or better or EVE 181 C- or better or PLB 117 C- or better or PLS 130 C- or better or PLS 144 C- or better or PLS 163 C- or better or SSC 112 C- or better; or consent of instructor.,Upper Division,PLS
PLS 163,Ecosystem & Landscape Ecology,4,"Learning Activities: Lecture/Discussion 3 hour(s), Project 1 hour(s).
Credit Limitation(s): Not open for credit to students who have completed ECL 201.
Grade Mode: Letter.",ENH 160 C- or better or ESM 144 C- or better or ESP 100 C- or better or ESP 155 C- or better or EVE 101 C- or better or EVE 117 C- or better or PLB 117 C- or better or PLS 130 C- or better or PLS 144 C- or better or PLS 147 C- or better or PLS 150 C- or better or PLS 162 C- or better or SSC 100 C- or better or SSC 102 C- or better or SSC 109 C- or better or SSC 112 C- or better or HYD 124 C- or better or ECL 200AN C- or better or ECL 200BN (can be concurrent); or similar class with consent of instructor.,Upper Division,PLS
PLS 170A,Fruit & Nut Cropping Systems,2,"Learning Activities: Lecture 1 hour(s), Laboratory 3 hour(s).
Credit Limitation(s): Not open for credit to students who have completed AMR 170A. (Former AMR 170A.)
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 002 or BIS 002C; or consent of instructor.,Upper Division,PLS
PLS 170B,Fruit & Nut Cropping Systems,2,"Learning Activities: Lecture 1 hour(s), Laboratory 3 hour(s).
Credit Limitation(s): Not open for credit to students who have completed AMR 170B. (Former AMR 170B.)
Grade Mode: Letter.
General Education: Science & Engineering (SE).",PLS 002 or BIS 002C; or consent of instructor.,Upper Division,PLS
